1; 2; 'theUsername1'; 'mail1@mail.com'; 'theUsername1'; 'firstname1'; 'lastname1'; 'phone1';
1; 2; 'theUsername2'; 'mail2@mail.com'; 'theUsername2'; 'firstname2'; 'lastname2'; 'phone2';
1; 2; 'theUsername3'; 'mail3@mail.com'; 'theUsername3'; 'firstname3'; 'lastname3'; 'phone3';
1; 2; 'theUsername4'; 'mail4@mail.com'; 'theUsername4'; 'firstname4'; 'lastname4'; 'phone4';
1; 2; 'theUsername5'; 'mail5@mail.com'; 'theUsername5'; 'firstname5'; 'lastname5'; 'phone5';
1; 2; 'theUsername6'; 'mail6@mail.com'; 'theUsername6'; 'firstname6'; 'lastname6'; 'phone6';
1; 2; 'theUsername7'; 'mail7@mail.com'; 'theUsername7'; 'firstname7'; 'lastname7'; 'phone7';



